Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Jenna Burke,27,Blogger,"Loveland, Ohio",,2,16
Shawn Reynolds,28,Financial advisor,"Cincinnati, Ohio",,2,16
Amber Bacon,23,Labor and delivery nurse,"Port Coquitlam, British Columbia",,1,16
Amber Tierney,28,Critical care nurse,"Waverly, Nebraska",,1,16
Anna Snowball,25,Student,"Detroit, Michigan",,1,16
Dianna Martinez,30,Nonprofit director,"San Gabriel, California",,1,16
Holly Johnson,34,Pharmaceutical sales representative,"Salyersville, Kentucky",,1,16
Lyndsie James,29,Internet entrepreneur,"London, England",,1,16
Shira Astrof,35,Actress,"Massapequa Park, New York",,1,16
Catherine Giudici,26,Graphic Designer,"Seattle, Washington",,,17
Lindsay Yenter,24,Substitute Teacher,"Fort Bragg, North Carolina",,10,17
AshLee Frazier,32,Personal Organizer,"Houston, Texas",,9,17
Desiree Hartsock,26,Bridal Stylist,"Northglenn, Colorado",,8,17
Lesley Murphy,24,Political Consultant,"Fort Smith, Arkansas",,7,17
Tierra LiCausi,24,Leasing Consultant,"Las Vegas, Nevada",,7,17
Daniella McBride,24,Commercial Casting Associate,"Belmont, California",,6,17
Selma Alameri,29,Real Estate Dealer,"Borrego Springs, California",,6,17
Sarah Herron,26,Advertising Executive,"Evergreen, Colorado",,6,17
Robyn Howard,24,Oil Field Account Manager,"Topeka, Kansas",,5,17
Jackie Parr,25,Cosmetics Consultant,"Ormond Beach, Florida",,5,17
Amanda Meyer,26,Fit Model,"Bakersfield, California",,4,17
Leslie Hughes,28,Poker Dealer,"Ruskin, Florida",,4,17
Kristy Kaminski,25,Model,"Darien, Wisconsin",,3,17
Taryn Renee Daniels,30,Health Club Manager,"Troutdale, Oregon",,3,17
Kacie Boguskie,25,Administrative Assistant,"Clarksville, Tennessee",,3,17
Brooke Burchette,25,Community Organizer,"Pittsburgh, Pennsylvania",,2,17
Diana Weeks Willardson,31,Salon Owner,"Sandy, Utah",,2,17
Katie Levans,27,Yoga Instructor,"Woodstock, Illinois",,2,17
Ashley Harper,25,Fashion Model,"Garner, North Carolina",,1,17
Ashley Palenkas,28,Hair Stylist,"Macomb, Michigan",,1,17
Kelly Dutton,28,Cruise Ship Entertainer,"Chattanooga, Tennessee",,1,17
Keriann Miranda,29,Entrepreneur,"Agoura Hills, California",,1,17
Lacey Latka,24,Graduate Student,"Stevenson Ranch, California",,1,17
Lauren Marchetti,27,Journalist,"Cranston, Rhode Island",,1,17
Paige Vigil,25,Jumbotron Operator,"Minnetonka, Minnesota",,1,17
Nikki Ferrell,26,Pediatric Nurse,"Kearney, Missouri",,,18
Clare Crawley,32,Hairstylist,"Sacramento, California",,10,18
Andi Dorfman,26,Assistant District Attorney,"Buckhead, Georgia",,9,18
Renee Oteri,32,Real Estate Agent,"Martha's Vineyard, Massachusetts",,8,18
Chelsie Webster,24,Science Educator,"Lexington, Ohio",,7,18
Sharleen Joynt,29,Opera Singer,"Ottawa, Ontario",,7,18
Kat Hurd,29,Medical Sales Representative/NBA Dancer,"Iowa City, Iowa",,6,18
Cassandra Ferguson,22,Former NBA Dancer,"Shelby Charter Township, Michigan",,6,18
Alli Restko,26,Nanny,"Orland Park, Illinois",,5,18
Danielle Ronco,25,Psychiatric Nurse,"Litchfield, Illinois",,5,18
Kelly Travis,27,Dog Lover,"Conyers, Georgia",,5,18
Elise Mosca,27,First Grade Teacher,"Forty Fort, Pennsylvania",,4,18
Lauren Solomon,26,Music Composer,"Austin, Texas",,4,18
Christy Hansen,24,Marketing Manager,"Aurora, Illinois",,3,18
"Lucinda ""Lucy"" Aragon",25,Free Spirit,"Santa Barbara, California",,3,18
Amy Long,27,Local News Reporter,"Clermont, Florida",,2,18
Chantel Forrest,27,Account Manager,"Miami, Florida",,2,18
Victoria Lima,24,Legal Assistant,"Porto Alegre, Brazil",,2,18
Alexis Morgado,24,Communications Director/NHL Ice Girl,"Tampa, Florida",,1,18
Amy Jokinen,31,Massage Therapist,"Apopka, Florida",,1,18
Ashley Poe,25,Grade School Teacher,"Roanoke, Texas",,1,18
Christine Llano,23,Police Support Specialist,"Miami, Florida",,1,18
Kylie Lewis,23,Interior Designer,"Rockford, Illinois",,1,18
Lacy Faddoul,25,Nursing Home Owner,"Antelope Acres, California",,1,18
Lauren Higginson,25,Mineral Coordinator,"Edmond, Oklahoma",,1,18
Maggie Gantt,25,Personal Banker,"Wagener, South Carolina",,1,18
Valerie Eredia,26,Personal Trainer,"Sutter, California",,1,18
Whitney Bischoff,29,Fertility Nurse,"Louisville, Kentucky",,,19
Becca Tilley,25,Chiropractic Assistant,"Shreveport, Louisiana",,10,19
Kaitlyn Bristowe,29,Dance Instructor,"Leduc, Alberta",,9,19
Jade Roper,28,Cosmetics Developer,"Gering, Nebraska",,8,19
Carly Waddell,29,Cruise Ship Singer,"Arlington, Texas",,7,19
Britt Nilsson,27,Waitress,"Wolcott Mills, Michigan",,7,19
Megan Bell,24,Make-Up Artist,"Nashville, Tennessee",,6,19
Kelsey Poe,28,Guidance Counselor,"Hudsonville, Michigan",,6,19
Ashley Iaconetti,26,Nanny/Freelance Journalist,"Great Falls, Virginia",,6,19
Mackenzie Deonigi,21,Dental Assistant,"Maple Valley, Washington",,5,19
Samantha Steffen,27,Fashion Designer,"Indianapolis, Indiana",,5,19
Ashley Salter,24,Hair Stylist,"Vinings, Georgia",,4,19
Juelia Kinney,30,Esthetician,"Beaverton, Oregon",,4,19
Nikki Delventhal,26,Former NFL Cheerleader,"Hasbrouck Heights, New Jersey",,4,19
Jillian Anderson,25,News Producer,"Howland, Ohio",,4,19
Amber James,29,Bartender,"Kankakee, Illinois",,3,19
Tracy Darakis,29,Fourth Grade Teacher,"Wellington, Florida",,3,19
Trina Scherenberg,33,Special Education Teacher,"Algonquin, Illinois",,3,19
Alissa Giambrone,24,Flight Attendant,"Hamilton, New Jersey",,2,19
Jordan Branch,24,Student,"Windsor, Colorado",,2,19
Kimberly Sherbach,28,Yoga Instructor,"Wantagh, New York",,2,19
Tandra Steiner,30,Executive Assistant,"Sandy, Utah",,2,19
Tara Eddings,26,Sport Fishing Enthusiast,"Fort Lauderdale, Florida",,2,19
